Date,Open,High,Low,Close,Adj Close,Volume
25-04-2022,17009.05078,17054.30078,16888.69922,16953.94922,16953.94922,275700
26-04-2022,17121.30078,17223.84961,17064.44922,17200.80078,17200.80078,261100
27-04-2022,17073.34961,17110.69922,16958.44922,17038.40039,17038.40039,265100
28-04-2022,17189.5,17322.5,17071.05078,17245.05078,17245.05078,312900
29-04-2022,17329.25,17377.65039,17053.25,17102.55078,17102.55078,336200
02-05-2022,16924.44922,17092.25,16917.25,17069.09961,17069.09961,278200
04-05-2022,17096.59961,17132.84961,16623.94922,16677.59961,16677.59961,310600
05-05-2022,16854.75,16945.69922,16651.84961,16682.65039,16682.65039,265800
06-05-2022,16415.55078,16484.19922,16340.90039,16411.25,16411.25,300500
09-05-2022,16227.7002,16403.69922,16142.09961,16301.84961,16301.84961,288400
10-05-2022,16248.90039,16404.55078,16197.29981,16240.04981,16240.04981,283100
11-05-2022,16270.04981,16318.75,15992.59961,16167.09961,16167.09961,284300
12-05-2022,16021.09961,16041.9502,15735.75,15808,15808,314900
13-05-2022,15977,16083.59961,15740.84961,15782.15039,15782.15039,369100
16-05-2022,15845.09961,15977.9502,15739.65039,15842.29981,15842.29981,217600
17-05-2022,15912.59961,16284.25,15900.79981,16259.29981,16259.29981,295700
18-05-2022,16318.15039,16399.80078,16211.2002,16240.29981,16240.29981,290400
19-05-2022,15917.40039,15984.75,15775.2002,15809.40039,15809.40039,313900
20-05-2022,16043.79981,16283.04981,16003.84961,16266.15039,16266.15039,252400
23-05-2022,16290.9502,16414.69922,16185.75,16214.7002,16214.7002,293800
24-05-2022,16225.54981,16262.79981,16078.59961,16125.15039,16125.15039,249800
25-05-2022,16196.34961,16223.34961,16006.9502,16025.79981,16025.79981,243300
26-05-2022,16105,16204.4502,15903.7002,16170.15039,16170.15039,314300
27-05-2022,16296.59961,16370.59961,16221.9502,16352.4502,16352.4502,274100
30-05-2022,16527.90039,16695.5,16506.15039,16661.40039,16661.40039,251400
31-05-2022,16578.44922,16690.75,16521.90039,16584.55078,16584.55078,651600
01-06-2022,16594.40039,16649.19922,16438.84961,16522.75,16522.75,249600
02-06-2022,16481.65039,16646.40039,16443.05078,16628,16628,236000
03-06-2022,16761.65039,16793.84961,16567.90039,16584.30078,16584.30078,245500
06-06-2022,16530.69922,16610.94922,16444.55078,16569.55078,16569.55078,233600
07-06-2022,16469.59961,16487.25,16347.09961,16416.34961,16416.34961,233800
08-06-2022,16474.94922,16514.30078,16293.34961,16356.25,16356.25,243500
09-06-2022,16263.84961,16492.80078,16243.84961,16478.09961,16478.09961,205000
10-06-2022,16283.9502,16324.7002,16172.59961,16201.79981,16201.79981,189700
13-06-2022,15877.54981,15886.15039,15684,15774.40039,15774.40039,225500
14-06-2022,15674.25,15858,15659.4502,15732.09961,15732.09961,225400
15-06-2022,15729.25,15783.65039,15678.90039,15692.15039,15692.15039,183000
16-06-2022,15832.25,15863.15039,15335.09961,15360.59961,15360.59961,264700
17-06-2022,15272.65039,15400.40039,15183.40039,15293.5,15293.5,342600
20-06-2022,15334.5,15382.5,15191.09961,15350.15039,15350.15039,260000
21-06-2022,15455.9502,15707.25,15419.84961,15638.79981,15638.79981,262800
22-06-2022,15545.65039,15565.40039,15385.9502,15413.29981,15413.29981,220900
23-06-2022,15451.54981,15628.4502,15367.5,15556.65039,15556.65039,259200
24-06-2022,15657.40039,15749.25,15619.4502,15699.25,15699.25,219600
27-06-2022,15926.2002,15927.4502,15815.5,15832.04981,15832.04981,210900
28-06-2022,15757.4502,15892.09961,15710.15039,15850.2002,15850.2002,251900
29-06-2022,15701.7002,15861.59961,15687.79981,15799.09961,15799.09961,444900
30-06-2022,15774.5,15890,15728.84961,15780.25,15780.25,306000
01-07-2022,15703.7002,15793.9502,15511.04981,15752.04981,15752.04981,364100
04-07-2022,15710.5,15852.34961,15661.79981,15835.34961,15835.34961,304300
05-07-2022,15909.15039,16025.75,15785.4502,15810.84961,15810.84961,254200
06-07-2022,15818.2002,16011.34961,15800.90039,15989.79981,15989.79981,288400
07-07-2022,16113.75,16150.5,16045.9502,16132.90039,16132.90039,264600
08-07-2022,16273.65039,16275.5,16157.90039,16220.59961,16220.59961,281100
11-07-2022,16136.15039,16248.54981,16115.5,16216,16216,255900
12-07-2022,16126.2002,16158.75,16031.15039,16058.29981,16058.29981,208600
13-07-2022,16128.2002,16140,15950.15039,15966.65039,15966.65039,233300
14-07-2022,16018.84961,16070.84961,15858.2002,15938.65039,15938.65039,228600
15-07-2022,16010.79981,16066.9502,15927.29981,16049.2002,16049.2002,205800
18-07-2022,16151.40039,16287.9502,16142.2002,16278.5,16278.5,227700
19-07-2022,16187.04981,16359.5,16187.04981,16340.54981,16340.54981,222600
20-07-2022,16562.80078,16588,16490.94922,16520.84961,16520.84961,284400
21-07-2022,16523.55078,16626.94922,16483.90039,16605.25,16605.25,243600
22-07-2022,16661.25,16752.25,16610.90039,16719.44922,16719.44922,190900
25-07-2022,16662.55078,16706.05078,16564.25,16631,16631,211400
26-07-2022,16632.90039,16636.09961,16463.30078,16483.84961,16483.84961,208200
27-07-2022,16475.34961,16653.44922,16438.75,16641.80078,16641.80078,185200
28-07-2022,16774.84961,16947.65039,16746.25,16929.59961,16929.59961,376300
29-07-2022,17079.5,17172.80078,17018.15039,17158.25,17158.25,436100
01-08-2022,17243.19922,17356.25,17154.80078,17340.05078,17340.05078,381500
02-08-2022,17310.15039,17390.15039,17215.84961,17345.44922,17345.44922,333600
03-08-2022,17349.25,17407.5,17225.84961,17388.15039,17388.15039,285400
04-08-2022,17463.09961,17490.69922,17161.25,17382,17382,325000
05-08-2022,17423.65039,17474.40039,17348.75,17397.5,17397.5,355300
08-08-2022,17401.5,17548.80078,17359.75,17525.09961,17525.09961,257000
10-08-2022,17566.09961,17566.09961,17442.80078,17534.75,17534.75,312700
11-08-2022,17711.65039,17719.30078,17631.94922,17659,17659,311200
12-08-2022,17659.65039,17724.65039,17597.84961,17698.15039,17698.15039,303900
16-08-2022,17797.19922,17839.09961,17764.05078,17825.25,17825.25,0
17-08-2022,17868.15039,17965.94922,17833.34961,17944.25,17944.25,262800
18-08-2022,17898.65039,17968.44922,17852.05078,17956.5,17956.5,263900
19-08-2022,17966.55078,17992.19922,17710.75,17758.44922,17758.44922,295600
22-08-2022,17682.90039,17690.05078,17467.34961,17490.69922,17490.69922,287600
