Date,Open,High,Low,Close,Adj Close,Volume
07-06-2016,39.723297,39.99575,39.123909,39.668808,38.887985,4197626
08-06-2016,39.77779,41.140041,39.614319,40.813103,40.009766,4976982
09-06-2016,40.922081,41.276268,40.240955,40.704121,39.902927,3803414
10-06-2016,40.622387,41.358002,40.2682,40.676876,39.876217,2797763
13-06-2016,39.886768,40.513405,39.260132,39.668808,38.887985,4466319
14-06-2016,39.941261,43.455872,39.668808,42.965462,42.119755,11896589
15-06-2016,43.101688,43.810059,42.556786,43.537609,42.680641,8418476
16-06-2016,43.047195,43.483116,41.848415,42.883724,42.039627,4883954
17-06-2016,43.210667,44.245979,42.720257,42.938217,42.093044,5533237
20-06-2016,42.502296,44.028019,42.175354,43.455872,42.600506,3617653
21-06-2016,43.564854,43.97353,42.556786,42.85648,42.012917,3180115
22-06-2016,43.210667,43.374138,41.902905,42.311581,41.478745,4106076
23-06-2016,42.475052,43.210667,41.548717,42.938217,42.093044,5537212
24-06-2016,40.867592,41.330757,39.396358,40.431671,39.635838,5617427
27-06-2016,40.649632,41.466984,39.832279,41.167286,40.356972,3331651
28-06-2016,41.249023,44.95435,41.085552,44.382206,43.508614,14977945
29-06-2016,44.818127,45.689968,44.028019,45.39027,44.496834,8713634
30-06-2016,45.553741,47.815083,45.363026,47.27018,46.339741,9513478
01-07-2016,47.433651,47.542633,45.989662,46.125889,45.217972,4926955
04-07-2016,46.316605,47.324673,46.180378,46.861504,45.93911,4389525
05-07-2016,46.643543,47.106712,45.853439,46.098644,45.191265,4880851
07-07-2016,46.0714,46.534565,45.444763,45.580986,44.683796,3419333
08-07-2016,45.608231,45.771702,43.946285,44.654655,43.775703,4342598
11-07-2016,45.226803,45.935173,44.736389,45.608231,44.710506,4478982
12-07-2016,45.935173,46.234867,45.308537,45.744457,44.844044,4933490
13-07-2016,45.989662,46.56181,44.46394,44.872616,43.989365,5360149
14-07-2016,44.89986,45.335781,44.491184,44.654655,43.775703,3366956
15-07-2016,44.872616,45.580986,43.592098,44.082508,43.214809,4422082
18-07-2016,44.409451,45.826195,43.646587,44.19149,43.321651,6300888
19-07-2016,44.028019,44.6819,43.319649,43.728325,42.867603,4267228
20-07-2016,43.946285,45.580986,43.728325,45.199554,44.309868,7248467
21-07-2016,45.335781,46.044151,43.864548,44.19149,43.321651,5338705
22-07-2016,43.810059,44.790882,43.810059,44.46394,43.588737,4153765
25-07-2016,44.409451,44.572922,43.592098,44.055264,43.188107,6642295
26-07-2016,44.245979,46.452827,44.19149,45.17231,44.283165,14027560
27-07-2016,45.281292,45.880684,44.790882,45.145065,44.256458,9301461
28-07-2016,45.281292,45.771702,43.483116,44.845371,43.962662,52012681
29-07-2016,43.97353,44.736389,43.646587,43.946285,43.081276,7206920
01-08-2016,44.19149,44.545673,40.731365,42.36607,41.532158,8520575
02-08-2016,42.229843,43.047195,42.066376,42.393314,41.558868,5121353
03-08-2016,42.229843,42.611275,40.785854,40.949326,40.143303,6990512
04-08-2016,41.276268,42.066376,40.458916,41.712189,40.891155,4363036
05-08-2016,42.011883,42.311581,41.140041,42.09362,41.265072,6216275
08-08-2016,42.338825,43.156178,41.957394,42.883724,42.039627,4328727
09-08-2016,42.801991,43.210667,41.848415,42.284336,41.45203,4575831
10-08-2016,42.393314,44.354961,41.684944,43.537609,42.680641,22730605
11-08-2016,43.592098,43.728325,40.649632,41.358002,40.543938,10262382
12-08-2016,41.466984,41.603207,40.595142,40.867592,40.063179,4789062
16-08-2016,40.97657,41.303513,40.05024,40.2682,39.475586,6591779
17-08-2016,40.322689,41.167286,40.240955,40.540649,39.742668,5498363
18-08-2016,40.704121,41.303513,40.540649,40.731365,39.929634,4474693
19-08-2016,40.813103,42.693012,40.731365,41.930149,41.10482,13148637
22-08-2016,41.930149,41.930149,40.622387,40.867592,40.063179,5673853
23-08-2016,40.813103,41.085552,40.159222,40.567898,39.769386,4062899
24-08-2016,40.431671,41.058308,40.377182,40.785854,39.983047,4865911
25-08-2016,40.867592,41.058308,39.77779,39.914017,39.128368,6835484
26-08-2016,39.968506,40.322689,39.06942,39.369114,38.594193,4364418
29-08-2016,38.470024,40.458916,38.44278,39.641563,38.861282,10825980
30-08-2016,39.77779,40.2682,39.641563,39.968506,39.181789,4425550
31-08-2016,40.131973,40.295444,39.55983,39.668808,38.887985,3876489
01-09-2016,39.723297,40.05024,38.252068,38.415535,37.659386,4977470
02-09-2016,38.606251,39.096664,38.497272,38.742477,37.979893,3469164
06-09-2016,38.987682,39.696053,38.987682,39.287376,38.514065,4055078
07-09-2016,39.450848,40.213711,39.06942,39.478092,38.701027,4672665
08-09-2016,39.641563,40.813103,39.341869,40.567898,39.769386,6031889
09-09-2016,40.731365,40.731365,39.914017,40.022995,39.235203,3121694
12-09-2016,39.505341,39.505341,36.562874,38.115841,37.365593,4306496
14-09-2016,38.17033,39.096664,38.143085,38.851456,38.086727,3977495
15-09-2016,38.960438,39.232887,38.361046,38.769722,38.006599,1811743
16-09-2016,38.960438,39.505341,37.352978,37.652676,36.911541,12219607
19-09-2016,37.870636,38.497272,37.761654,38.143085,37.3923,2856014
20-09-2016,38.252068,38.8787,38.252068,38.415535,37.659386,4768877
21-09-2016,38.633495,39.096664,38.306557,38.660744,37.899765,4374994
22-09-2016,39.014927,39.369114,38.551762,39.151154,38.38052,4558398
23-09-2016,39.450848,39.696053,38.8787,39.014927,38.246983,4331006
26-09-2016,38.905949,39.287376,38.115841,38.279312,37.525845,3588558
27-09-2016,38.497272,38.905949,38.333801,38.415535,37.659386,3363070
28-09-2016,38.415535,39.123909,38.415535,38.769722,38.006599,2625123
29-09-2016,39.06942,39.287376,34.928169,35.36409,34.667999,9283018
30-09-2016,35.309601,36.126949,34.492249,35.800011,35.095341,5643033
03-10-2016,35.963482,36.699097,35.963482,36.508381,35.789772,2435232
04-10-2016,36.78083,37.434715,36.508381,37.053284,36.323956,4761110
05-10-2016,37.271244,37.489204,36.562874,36.862568,36.13699,2904432
06-10-2016,37.053284,37.352978,36.045216,36.372158,35.656223,2998323
07-10-2016,36.590118,37.243999,36.126949,36.971546,36.243824,5426409
10-10-2016,37.243999,38.333801,36.562874,37.625427,36.884827,9051818
13-10-2016,37.570938,37.979614,36.535625,36.726341,36.003448,4018770
14-10-2016,36.944302,37.325733,36.562874,36.835323,36.110283,3967572
17-10-2016,36.998795,37.570938,36.235931,36.726341,36.003448,5609924
18-10-2016,37.026039,37.46196,36.889812,37.352978,36.617748,2036798
19-10-2016,37.543694,37.925125,37.271244,37.67992,36.938255,3772621
20-10-2016,37.870636,39.042171,37.761654,38.769722,38.006599,4863051
21-10-2016,38.960438,39.369114,38.470024,38.905949,38.140148,5021877
24-10-2016,39.178398,39.668808,38.742477,38.905949,38.140148,5009177
25-10-2016,38.143085,38.415535,36.399403,36.78083,36.056858,12491285
26-10-2016,36.78083,37.107773,36.508381,36.671852,35.950024,4232086
27-10-2016,36.753586,36.753586,36.154198,36.481136,35.763058,4514117
28-10-2016,36.590118,36.917057,36.07246,36.453892,35.736351,4370843
01-11-2016,36.671852,36.726341,36.290421,36.372158,35.656223,2748250
02-11-2016,36.07246,36.07246,35.173374,35.282352,34.587875,5549840
03-11-2016,35.200619,35.718273,35.09164,35.14613,34.45433,2929536
04-11-2016,35.255108,35.418579,33.674896,34.001835,33.332561,4715639
07-11-2016,34.437756,34.682964,34.247044,34.383266,33.70649,1975513
08-11-2016,34.601227,36.372158,34.029079,35.309601,34.614586,7528276
09-11-2016,32.585094,34.110817,31.794987,33.729385,33.065475,5306548
10-11-2016,34.383266,36.78083,34.328777,35.500317,34.801548,5593644
11-11-2016,34.873676,36.453892,34.519493,34.846432,34.160538,3677126
15-11-2016,35.037148,35.09164,32.476112,33.702141,33.038773,4001574
16-11-2016,34.138062,34.492249,33.429691,33.75663,33.092186,3095375
17-11-2016,33.892857,34.873676,33.783875,34.301533,33.626358,2968862
18-11-2016,34.274288,35.418579,33.920101,35.064396,34.374207,4611742
21-11-2016,35.609295,35.609295,33.620403,34.219795,33.546234,3485853
22-11-2016,34.410511,34.819187,33.565914,34.083572,33.412689,2372868
23-11-2016,34.356022,34.873676,34.110817,34.519493,33.840031,2428579
24-11-2016,34.274288,34.519493,33.402447,33.593159,32.931931,3539870
25-11-2016,33.97459,35.009903,33.783875,34.628471,33.946861,4180924
28-11-2016,34.573982,36.290421,34.328777,35.745522,35.041924,4605104
29-11-2016,35.800011,36.753586,35.718273,36.208687,35.495975,3342447
30-11-2016,36.235931,37.380222,36.235931,37.080528,36.350658,3278166
